Date,Sales
2023-01-01,739
2023-01-02,198
2023-01-03,564
2023-01-04,196
2023-01-05,522
2023-01-06,861
2023-01-07,646
2023-01-08,926
2023-01-09,914
2023-01-10,371
2023-01-11,962
2023-01-12,264
2023-01-13,951
2023-01-14,618
2023-01-15,739
2023-01-16,537
2023-01-17,346
2023-01-18,444
2023-01-19,329
2023-01-20,268
2023-01-21,564
2023-01-22,860
2023-01-23,256
2023-01-24,354
2023-01-25,864
2023-01-26,651
2023-01-27,159
2023-01-28,748
2023-01-29,976
2023-01-30,779
2023-01-31,947
2023-02-01,873
2023-02-02,209
2023-02-03,639
2023-02-04,614
2023-02-05,853
2023-02-06,750
2023-02-07,560
2023-02-08,372
2023-02-09,420
2023-02-10,354
2023-02-11,124
2023-02-12,753
2023-02-13,921
2023-02-14,867
2023-02-15,689
2023-02-16,472
2023-02-17,818
2023-02-18,139
2023-02-19,615
2023-02-20,426
2023-02-21,238
2023-02-22,653
2023-02-23,914
2023-02-24,540
2023-02-25,189
2023-02-26,745
2023-02-27,145
2023-02-28,163
2023-03-01,669
2023-03-02,888
2023-03-03,572
2023-03-04,218
2023-03-05,686
2023-03-06,613
2023-03-07,357
2023-03-08,134
2023-03-09,250
2023-03-10,606
2023-03-11,671
2023-03-12,406
2023-03-13,284
2023-03-14,245
2023-03-15,107
2023-03-16,684
2023-03-17,282
2023-03-18,810
2023-03-19,275
2023-03-20,629
2023-03-21,337
2023-03-22,226
2023-03-23,780
2023-03-24,722
2023-03-25,203
2023-03-26,330
2023-03-27,950
2023-03-28,441
2023-03-29,780
2023-03-30,292
2023-03-31,870
